Notes,YEAR,FIPS,Newspaper,Corrugated Cardboard,Office,Magazine/Glossy,Paperboard,Mixed Paper,Other Paper,#1 PET Bottles,#2 HDPE Bottles,#3-#7 Bottles,Expanded Polystyrene,Film Plastic,Other Rigid Plastic,Clear Glass,Green Glass,Amber Glass,Other Glass,Steel Cans,Aluminum Cans,Other Ferrous,Other Non-Ferrous,Appliances/White Goods,Yard Waste,Wood,Food Waste,Textiles,Other Organics,Wood (C&D),Drywall,Inerts,Fines/Dirt,Carpet (inc padding),Asphalt Roofing,Other C&D,Vehicle Fluids,Lightbulbs,Pharmaceutical/Medical,Other HHW,Electronics,Batteries,Tires,Bulky Items/Furniture,Other Inorganics,Paper,Plastic,Glass,Metal,Yard Waste (Major),Food,Textiles (Major),Other Organics (Major),Wood (Major),C&D Excluding Wood,HHW,Other
Atlanta Regional Commission - Appendix A,2005,"13057, 13121, 13067, 13097, 13063, 13113, 13135, 13089, 13247, 13151",0.049,0.113,0.035,0.028,0.035,0.034,0.106,0.013,0.011,0.002,0.014,0.075,0.043,0.018,0.005,0.012,0.003,0.013,0.006,0.03,0.006,0,0.024,0.018,0.122,0.037,0.033,0.022,0.005,0.002,0.027,0.018,0,0.008,0,0,0,0.005,0.018,0,0.003,0,0.006,0.4,0.158,0.038,0.055,0.042,0.122,0.037,0.033,0.022,0.06,0.005,0.027
Central Savannah River Area - Appendix B,2005,"13317, 13181, 13265, 13301, 13189, 13073, 13245, 13141, 13303, 13163, 13033, 13165, 13125",0.069,0.085,0.019,0.03,0.054,0.032,0.07,0.016,0.011,0.003,0.02,0.084,0.042,0.022,0.008,0.016,0.005,0.018,0.009,0.014,0.008,0,0.03,0.013,0.14,0.061,0.041,0.013,0.001,0.01,0.027,0.002,0,0.005,0,0,0,0.005,0.01,0,0,0,0.007,0.359,0.176,0.051,0.049,0.043,0.14,0.061,0.041,0.013,0.045,0.005,0.017
Chattahoochee Flint - Appendix C,2005,"13045, 13149, 13285, 13077, 13199",0.05,0.096,0.03,0.03,0.042,0.028,0.124,0.018,0.013,0.001,0.015,0.078,0.035,0.021,0.004,0.016,0.002,0.023,0.012,0.032,0.008,0,0.007,0.008,0.115,0.039,0.038,0.024,0.001,0,0.045,0,0,0.017,0,0,0,0.001,0.012,0,0,0,0.015,0.4,0.16,0.043,0.075,0.015,0.115,0.039,0.038,0.024,0.063,0.001,0.027
Coastal Georgia Composition - Appendix D,2005,"13251, 13031, 13103, 13029, 13051, 13179, 13183, 13191, 13127, 13039",0.045,0.15,0.034,0.023,0.035,0.027,0.077,0.013,0.01,0.002,0.014,0.079,0.042,0.016,0.005,0.013,0.001,0.01,0.008,0.016,0.01,0,0.028,0.022,0.111,0.042,0.057,0.044,0.002,0.002,0.022,0.007,0,0.009,0,0,0,0.002,0.019,0,0,0,0.005,0.391,0.16,0.035,0.044,0.05,0.111,0.042,0.057,0.044,0.042,0.002,0.024
Coosa Valley Composition - Appendix E,2005,"13083, 13295, 13047, 13055, 13115, 13129, 13015, 13233, 13223, 13143",0.062,0.046,0.03,0.029,0.034,0.027,0.119,0.019,0.016,0.003,0.014,0.062,0.05,0.025,0.002,0.015,0.003,0.02,0.01,0.008,0.006,0,0.048,0.01,0.134,0.055,0.064,0.015,0.002,0.004,0.019,0.012,0,0.014,0,0,0,0.003,0.015,0,0,0,0.006,0.347,0.164,0.045,0.044,0.058,0.134,0.055,0.064,0.015,0.051,0.003,0.021
Georgia Mountains - Appendix F,2005,"13291, 13281, 13241, 13187, 13311, 13137, 13257, 13085, 13117, 13139, 13011, 13119, 13105",0.046,0.116,0.04,0.033,0.027,0.027,0.127,0.01,0.009,0.001,0.012,0.078,0.037,0.011,0.005,0.008,0.002,0.01,0.005,0.026,0.004,0,0.029,0.019,0.071,0.026,0.047,0.054,0.009,0.015,0.043,0.008,0,0.014,0,0,0,0.002,0.018,0,0,0,0.012,0.416,0.147,0.026,0.045,0.048,0.071,0.026,0.047,0.054,0.089,0.002,0.03
Heart of Georgia - Altamaha - Appendix G,2005,"13023, 13175, 13167, 13107, 13315, 13091, 13271, 13309, 13209, 13279, 13267, 13109, 13043, 13161, 13001, 13305",0.028,0.063,0.037,0.018,0.031,0.028,0.118,0.014,0.012,0.003,0.015,0.061,0.045,0.013,0.002,0.01,0.006,0.018,0.008,0.024,0.009,0,0.01,0.043,0.123,0.059,0.046,0.018,0,0.014,0.028,0.005,0,0.044,0,0,0,0.003,0.029,0,0.007,0,0.01,0.323,0.15,0.031,0.059,0.053,0.123,0.059,0.046,0.018,0.091,0.003,0.046
Lower Chattahoochee - Appendix H,2005,"13145, 13263, 13215, 13053, 13259, 13239, 13243, 13061",0.044,0.116,0.036,0.021,0.026,0.038,0.105,0.015,0.007,0.002,0.014,0.06,0.043,0.013,0.001,0.012,0.004,0.011,0.007,0.028,0.006,0,0.044,0.012,0.138,0.039,0.034,0.044,0.005,0.005,0.017,0.008,0,0.025,0,0,0,0.002,0.007,0,0,0,0.008,0.386,0.141,0.03,0.052,0.056,0.138,0.039,0.034,0.044,0.06,0.002,0.015
McIntosh Trail - Appendix I,2005,"13293, 13231, 13171, 13255, 13035",0.014,0.101,0.028,0.012,0.032,0.021,0.077,0.011,0.008,0.001,0.014,0.046,0.054,0.015,0.001,0.017,0.007,0.013,0.007,0.043,0.016,0,0.027,0.075,0.087,0.092,0.034,0.01,0,0,0.02,0.024,0,0.017,0,0,0,0.007,0.048,0,0.002,0,0.02,0.285,0.134,0.04,0.079,0.102,0.087,0.092,0.034,0.01,0.061,0.007,0.07
Middle Georgia - Appendix J,2005,"13207, 13079, 13153, 13153, 13235, 13169, 13021, 13289, 13319, 13009, 13237",0.053,0.138,0.024,0.021,0.025,0.011,0.083,0.01,0.008,0.001,0.014,0.078,0.054,0.006,0.002,0.007,0.002,0.009,0.006,0.021,0.018,0,0.05,0.018,0.113,0.034,0.025,0.015,0,0.009,0.033,0.022,0,0.034,0,0,0,0.005,0.046,0,0.003,0,0.004,0.355,0.165,0.017,0.054,0.068,0.113,0.034,0.025,0.015,0.098,0.005,0.053
Northeast Georgia - Appendix K,2005,"13105, 13195, 13221, 13157, 13013, 13059, 13219, 13133, 13297, 13211, 13217, 13159",0.049,0.09,0.039,0.024,0.036,0.023,0.142,0.014,0.012,0.003,0.016,0.073,0.045,0.018,0.003,0.011,0.014,0.017,0.007,0.027,0.006,0,0.014,0.009,0.13,0.039,0.046,0.02,0.001,0.004,0.028,0.001,0,0.005,0,0,0,0.004,0.017,0,0,0,0.013,0.403,0.163,0.046,0.057,0.023,0.13,0.039,0.046,0.02,0.039,0.004,0.03
South Georgia - Appendix L,2005,"13287, 13017, 13155, 13277, 13075, 13027, 13185, 13173, 13101",0.037,0.087,0.03,0.023,0.032,0.027,0.088,0.017,0.011,0.007,0.017,0.091,0.036,0.019,0.006,0.019,0.006,0.019,0.013,0.022,0.008,0,0.016,0.027,0.137,0.033,0.03,0.045,0,0.005,0.028,0.029,0,0.006,0,0,0,0.002,0.014,0,0,0,0.011,0.324,0.179,0.05,0.062,0.043,0.137,0.033,0.03,0.045,0.068,0.002,0.025
Southeast Georgia - Appendix M,2005,"13019, 13003, 13069, 13065, 13299, 13049, 13005, 13229, 13025",0.04,0.085,0.042,0.021,0.03,0.019,0.118,0.015,0.013,0.003,0.012,0.058,0.044,0.016,0.001,0.013,0.003,0.019,0.016,0.01,0.008,0,0.019,0.033,0.136,0.066,0.053,0.008,0,0.005,0.023,0.003,0,0.031,0,0,0,0.002,0.019,0,0.01,0,0.005,0.355,0.145,0.033,0.053,0.052,0.136,0.066,0.053,0.008,0.062,0.002,0.034
Marion County,2016,41047,0.049,0.0327,0.038,0.03,0.001,0.0125,0.0334,0.006,0.009,0.00632,0.0089,0.029,0.0686,0.007,0.00464,0.0027,0.005,0.01,0.0047721,0.01,0.001176609,0.008151992,0.015,0.0986,0.1547,0.0417,0.092,0.089,0.0231,0,0.087,0,0.004,0.001,0,0,0,0.001,0,0,0,0,0.02,0.1966,0.12782,0.01934,0.034100701,0.1136,0.1547,0.0417,0.092,0.089,0.1151,0.001,0.02
Boulder County Colorado,2019,8013,0.006,0.063,0.013,0.012,0.003,0.102,0.017,0.008,0.007,0.001,0.004,0.052,0.069,N/A,N/A,N/A,0.002,0.006,0.003,0.032,0.006,0,0.025,0.001,0.158,0.036,0.038,0.098,0.011,0.005,0.034,0.008,0,0.032,0,0.001,0.009,0.003,0.029,0.001,0.007,0.036,0.033,0.216,0.141,0.022,0.047,0.026,0.158,0.036,0.038,0.098,0.09,0.013,0.106
Boulder County Colorado,2010,8013,0.008,0.045,0.008,0.009,0.001,0.081,0.013,0.005,0.004,0.001,0.009,0.046,0.068,N/A,N/A,N/A,0.004,0.005,0.003,0.017,0.011,0.002,0.125,0.018,0.141,0.057,0.041,0.071,0.007,0.005,0.029,0.032,0,0.01,0,0,0,0.001,0.031,0.002,0.009,0.054,0.009,0.165,0.133,0.033,0.038,0.143,0.141,0.057,0.041,0.071,0.083,0.001,0.105
Scott County,2017,19163,0.018,N/A,0.008,0.014,N/A,0.117,0.058,0.019,0.008,0.02,0.001,0.052,0.067,0.012,0.001,0.012,0.006,N/A,0.012,0.016,0.001,0.01,0.029,N/A,0.182,0.036,0.115,0.042,0.001,0.003,0.038,0.019,0.001,0.012,0.002,0.0005,0.001,0.049,0.003,0.001,N/A,0.005,0.003,0.255,0.167,0.031,0.039,0.029,0.182,0.036,0.115,0.042,0.074,0.0525,0.008
Mesa County Colorado,2018,8077,0.012,0.094,0.011,0.034,0.034,0.044,0.022,0.031,0.01,0.0075,0.009,0.043,0.0805,N/A,N/A,N/A,0.004,0.01,0.014,0.018,0.018,N/A,0.088,0.01,0.126,0.06,0.048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.003,N/A,N/A,0.017,0.014,0.001,N/A,N/A,0.002,0.251,0.181,0.044,0.06,0.098,0.126,0.06,0.048,N/A,0.092,N/A,N/A
Sonoma County,2021,6097,0.002,0.014,0.004,N/A,0.002,0.033,0.021,0.011,0.007,0.01,0.002,0.044,0.026,0.011,0.01,N/A,0.009,0.005,0.004,0.015,0.004,0.002,0.019,0.047,0.206,0.037,0.075,0.002,N/A,0.001,N/A,N/A,0.033,0.088,0.002,0.001,0.001,0.001,0.008,0.001,0.004,0.002,0.256,0.077,0.1,0.03,0.03,0.066,0.206,0.037,0.075,0.002,0.122,0.005,0.271
King County,2019,53033,0.003,0.039,0.005,N/A,N/A,0.104,0.021,0.011,0.006,0.001,0.029,0.042,0.037,0.008,0.002,0.003,0.009,N/A,0.006,0.023,0.026,0.003,0.03,0.093,0.156,0.042,0.106,0.025,N/A,0.005,0.017,0.011,0.001,0.03,0.001,0.001,0.008,0.003,0.001,0.001,0.01,0.032,0.04,0.177,0.126,0.022,0.059,0.123,0.156,0.042,0.106,0.025,0.074,0.013,0.084
Hamilton County,2018,39061,0.011,0.063,N/A,N/A,0.008,0.112,0.006,0.018,0.007,0.001,0.029,0.057,0.037,0.007,0.007,0.007,0.005,0.006,0.008,0.022,0.001,0.011,0.114,0.055,0.149,0.038,0.021,N/A,N/A,N/A,0.025,0.03,0.003,0.029,0.001,0.001,0.004,0.003,0.008,0.001,N/A,0.011,0.084,0.212,0.149,0.026,0.048,0.169,0.149,0.038,0.021,N/A,0.029,0.009,N/A
All California,1999,6000,0.043,0.046,0.045,0.019,0,0.054,0.096,0.005,0.008,0.007,0,0.039,0.031,0.014,0.004,0.005,0.005,0.01,0.002,0.0345,0.0135,0.001,0.101,0.001,0.157,0.021,0.07,0.049,0.011,0.013,0.013,0,0.007,0.022,0,0,0,0.002,0,0.001,0.004,0.018,0.027,0.303,0.09,0.028,0.061,0.102,0.157,0.021,0.07,0.049,0.066,0.002,0.05
All California,2003,6000,0.022,0.057,0.02,0.008,0,0.047,0.057,0.005,0.005,0.005,0,0.044,0.036,0.009,0.004,0.003,0.007,0.008,0.002,0.0365,0.0155,0.015,0.065,0.003,0.146,0.024,0.045,0.096,0.017,0.024,0.024,0.021,0.019,0.036,0,0,0,0,0.012,0.001,0.003,0.034,0.024,0.211,0.095,0.023,0.077,0.068,0.146,0.024,0.045,0.096,0.141,0,0.074
All California,2008,6000,0.013,0.048,0.027,0,0,0.034,0.052,0.005,0.004,0.004,0,0.034,0.049,0.005,0.002,0.003,0.005,0.006,0.001,0.02,0.018,0,0.065,0.006,0.155,0.022,0.044,0.145,0.016,0.07,0.032,0.032,0.028,0,0,0,0,0.002,0.006,0,0.002,0.035,0.01,0.174,0.096,0.015,0.045,0.071,0.155,0.022,0.044,0.145,0.178,0.002,0.053
All California,2014,6000,0.012,0.031,0.007,0.006,0,0.041,0.075,0.006,0.005,0.006,0,0.04,0.047,0.009,0.002,0.004,0.01,0.007,0.002,0.012,0.009,0.002,0.069,0.017,0.181,0.04,0.049,0.119,0.011,0.014,0.024,0.018,0.007,0.023,0,0,0.001,0.004,0.008,0,0.001,0.044,0.034,0.172,0.104,0.025,0.032,0.086,0.181,0.04,0.049,0.119,0.097,0.005,0.087
All California,2018,6000,0.007,0.052,0.004,0.004,0.014,0.071,0.014,0.007,0.005,0.009,0.005,0.061,0.028,0.009,0.004,0.002,0.002,0.008,0.001,0.015,0.017,0.005,0.054,0.015,0.149,0.03,0.039,0.108,0.019,0.015,0.026,0.016,0.017,0.047,0,0,0.001,0.001,0.003,0,0.004,0.062,0.045,0.166,0.115,0.017,0.046,0.069,0.149,0.03,0.039,0.108,0.14,0.002,0.114
All California,2021,6000,0.003,0.041,0.006,0.004,0.014,0.082,0.006,0.008,0.005,0,0.002,0.044,0.078,0.012,0.0025,0.0035,0.006,0.004,0.003,0.0275,0.0105,0.004,0.05,0.01,0.109,0.03,0.04,0.097,0.018,0.019,0.02,0.013,0.014,0.036,0,0,0.005,0.002,0.009,0,0.001,0.047,0.114,0.156,0.137,0.024,0.049,0.06,0.109,0.03,0.04,0.097,0.12,0.007,0.171
Miami Dade County,2021,12086,0.001,0.033,0.006,N/A,0.028,0.032,0.09,0.016,0.01,0.002,0.037,0.049,0.022,0.022,0.011,0.006,0.008,0.006,0.005,0.011,0.007,0.005,0.126,0.019,0.167,0.049,0.057,0.014,0.004,0.011,0.001,N/A,0.001,0.001,0.002,0.001,N/A,0.008,0.008,0.001,0.006,N/A,0.117,N/A,0.136,0.047,0.034,0.145,0.167,0.049,0.057,0.014,N/A,N/A,N/A
IOWA State Overall,2022,19000,0.003,0.075,0.012,0.005,0.018,0.094,0.01,0.015,0.01,0.022,0.006,0.077,0.023,0.005,0.001,0.008,0.004,0.005,0.009,0.029,0.001,N/A,0.025,0.023,0.192,0.05,0.045,0.049,0.004,0.007,0.015,0.02,0.003,0.009,0.001,0.001,0.001,0.003,0.01,0.004,0.01,0.018,0.078,0.217,0.153,0.018,N/A,0.048,0.192,0.05,0.045,0.049,0.058,0.006,0.12
IOWA State Overall,2017,19000,0.013,0.046,0.009,0.015,0.006,0.137,0.029,0.02,0.011,0.027,0.008,0.087,0.03,0.008,0.001,0.001,0.011,0.008,0.009,0.019,0.003,0.007,0.029,0.009,0.2,0.041,0.087,0.022,0.003,0.006,0.048,0.011,0.002,0.007,0.001,0.001,0.001,0.004,0.014,0.001,N/A,N/A,0.008,0.255,0.183,0.021,0.046,0.038,0.2,0.041,0.087,0.022,0.077,0.007,N/A
IOWA State Overall,2011,19000,0.016,0.09,0.009,0.012,0.002,0.099,0.024,0.009,0.007,0.016,0.015,0.067,0.053,0.005,0.001,0.001,0.006,0.007,0.005,0.022,0.016,0.021,0.046,0.054,0.133,0.041,0.067,0.038,0.01,0.006,0.031,0.018,0.008,0.012,0.0005,0.0005,0.0005,0.0005,0.023,0.001,N/A,N/A,0.007,0.252,0.167,0.013,0.071,0.1,0.133,0.041,0.067,0.038,0.085,0.002,N/A
IOWA State Overall,2005,19000,0.04,0.085,0.025,0.018,N/A,0.135,0.028,0.009,0.01,0.004,N/A,0.066,0.06,0.007,0.001,0.001,0.007,0.01,0.004,0.028,0.005,0.002,0.017,0.034,0.155,0.049,0.044,0.046,N/A,N/A,N/A,N/A,N/A,0.055,0.0005,0.0005,0.0005,0.0005,0.027,0.002,N/A,N/A,0.024,N/A,N/A,0.016,0.049,0.051,0.155,0.049,0.044,0.046,N/A,0.002,N/A
IOWA State Overall,1998,19000,0.033,0.085,0.023,0.025,N/A,0.054,0.103,0.009,0.01,0.011,0.018,0.088,0.008,0.01,0.001,0.002,0.014,0.017,0.003,0.034,0.007,0.022,0.013,0.028,0.107,0.042,0.048,0.036,N/A,N/A,0.052,N/A,N/A,0.048,0.003,0.0005,0.0005,0.01,0.016,0.002,N/A,N/A,0.017,N/A,0.144,0.027,0.083,0.041,0.107,0.042,0.048,0.036,N/A,0.014,N/A
