Notes,YEAR,FIPS,Newspaper,Corrugated Cardboard,Office,Magazine/Glossy,Paperboard,Mixed Paper,Other Paper,#1 PET Bottles,#2 HDPE Bottles,#3-#7 Bottles,Expanded Polystyrene,Film Plastic,Other Rigid Plastic,Clear Glass,Green Glass,Amber Glass,Other Glass,Steel Cans,Aluminum Cans,Other Ferrous,Other Non-Ferrous,Appliances/White Goods,Yard Waste,Wood,Food Waste,Textiles,Other Organics,Wood (C&D),Drywall,Inerts,Fines/Dirt,Carpet (inc padding),Asphalt Roofing,Other C&D,Vehicle Fluids,Lightbulbs,Pharmaceutical/Medical,Other HHW,Electronics,Batteries,Tires,Bulky Items/Furniture,Other Inorganics,Paper,Plastic,Glass,Metal,Yard Waste (Major),Food,Textiles (Major),Other Organics (Major),Wood (Major),C&D Excluding Wood,HHW,Other
Wisconsin-West Central (WC),2020,"55001, 55011, 55017, 55019, 55023, 55033, 55035, 55053, 55057, 55063, 55073, 55081, 55091, 55093, 55097, 55109, 55121, 55123, 55141",0.012,0.064,0.019,0.007,0.016,0.109,0.035,0.016,0.007,0.021,0.0065,0.081,0.0365,0.005,0.003,N/A,0.018,0.005,0.008,0.0245,0.0185,0.008,0.006,0.041,0.172,0.066,0.053,0.058,0.02,0.001,0.018,0.009,0.0005,0.01,0.0005,0.001,N/A,0.0015,0.008,0.001,0.002,0.009,0.004,0.262,0.168,N/A,0.064,0.047,0.172,0.066,0.053,0.058,0.0585,N/A,0.024
Wisconsin-North East,2002,"55009, 55015, 55029, 55039, 55047, 55061, 55071, 55075, 55077, 55078, 55083, 55087, 55115, 55135, 55137, 55139",0.012,0.033,0.01,0.008,0.007,0.079,0.023,0.003,0.003,0.0005,0.003,0.038,0.04,N/A,N/A,N/A,0.021,0.056,0.006,0.015,0.001,0.005,0.015,0.154,0.113,0.029,0.054,0.022,0.019,0.034,0.013,0.0185,0.035,0.069,0.002,0.00005,N/A,0.002005,0.021,0.001,0.001,0.032,0.0019,0.172,0.0875,N/A,0.083,0.169,0.113,0.029,0.054,0.022,0.1885,N/A,0.0569
Wisconsin-Northern,2002,"55003, 55005, 55007, 55013, 55031, 55051, 55095, 55099, 55107, 55113, 55119, 55129, 55037, 55041, 55067, 55069, 55085, 55125",0.048,0.03,0.029,0.012,0.008,0.092,0.037,0.007,0.007,N/A,0.008,0.05,0.035,N/A,N/A,N/A,0.047,0.03,0.01,0.009,0.001,0.0001,0.003,0.118,0.131,0.023,0.052,0.021,0.025,0.015,0.024,0.024,0.009,0.045,0.00055,0.00005,N/A,0.00055,0.023005,0.001,0.001,0.016,0.0077,0.256,N/A,N/A,0.0501,0.121,0.131,0.023,0.052,0.021,0.142,N/A,0.048705
Wisconsin-South Central (SC),2002,"55021, 55025, 55027, 55045, 55043, 55049, 55055, 55065, 55103, 55105, 55111",0.021,0.031,0.015,0.01,0.009,0.106,0.029,0.004,0.003,N/A,0.005,0.04,0.052,N/A,N/A,N/A,0.012,0.035,0.004,0.006,0.001,0.006,0.006,0.112,0.113,0.014,0.043,0.04,0.015,0.03,0.022,0.016,0.117,0.024,0.0005,0.0005,N/A,0.005,0.013,0.001,0.003,0.031,0.005,0.221,N/A,N/A,0.052,0.118,0.113,0.014,0.043,0.04,0.224,N/A,0.053
Wisconsin-Southeast (SE),2002,"55059, 55079, 55089, 55101, 55117, 55127, 55131, 55133",0.019,0.057,0.014,0.01,0.006,0.09,0.021,0.004,0.004,N/A,0.004,0.039,0.052,N/A,N/A,N/A,0.025,0.029,0.006,0.017,0.002,0.006,0.021,0.124,0.087,0.027,0.037,0.022,0.017,0.046,0.014,0.045,0.059,0.023,0.0006,0.00005,N/A,0.0095,0.024,0.002,0.013,0.021,0.0034,0.217,N/A,N/A,0.06,0.145,0.087,0.027,0.037,0.022,0.204,N/A,0.0634
Wisconsin-West Central (WC),2002,"55001, 55011, 55017, 55019, 55023, 55033, 55035, 55053, 55057, 55063, 55073, 55081, 55091, 55093, 55097, 55109, 55121, 55123, 55141",0.016,0.038,0.011,0.012,0.008,0.088,0.026,0.005,0.007,0.0005,0.006,0.04,0.07,N/A,N/A,N/A,0.022,0.065,0.011,0.018,0.001,0.009,0.004,0.117,0.094,0.027,0.066,0.022,0.01,0.046,0.019,0.013,0.049,0.014,0.0005,0.0005,N/A,0.0015,0.022,0.006,0.002,0.03,0.0035,0.199,0.1285,N/A,0.104,0.121,0.094,0.027,0.066,0.022,0.151,N/A,0.0635
Washington-Central,2015,"53025, 53007",0.006,0.039,0.02,0.003,0.005,0.072,0.006,0.025,0.014,0.013,0.033,0.039,0.016,0.011,0.004,0.006,0.003,0.008,0.008,0.02,0.014,0.0005,0.122,0.036,0.184,0.031,0.053,0.065,0.014,0.019,0.015,0.015,0.007,0.03,0.0005,0.0005,0.003,0.001,0.006,0.0005,0.01,0.02,0.002,0.151,0.14,0.024,0.0505,0.158,0.184,0.031,0.053,0.065,0.1,0.005,0.0385
Washington-East,2015,"53063, 53021",0.007,0.034,0.01,0.004,0.002,0.112,0.007,0.011,0.007,0.009,0.035,0.044,0.012,0.006,0.002,0.003,0.006,0.004,0.006,0.018,0.017,0.001,0.117,0.024,0.159,0.023,0.07,0.08,0.017,0.049,0.004,0.017,0.005,0.018,0.0005,0.001,0.002,0.0025,0.003,0.001,0.019,0.029,0.002,0.176,0.118,0.017,0.046,0.141,0.159,0.023,0.07,0.08,0.11,0.006,0.054
Washington-Northwest,2015,53057,0.008,0.034,0.004,0.001,0.003,0.087,0.012,0.009,0.004,0.007,0.039,0.032,0.011,0.006,0.003,0.004,0.004,0.003,0.004,0.017,0.023,0.009,0.055,0.041,0.205,0.025,0.071,0.098,0.02,0.029,0.005,0.012,0.016,0.012,0.004,0,0.017,0.002,0.001,0.002,0.002,0.054,0.005,0.149,0.102,0.017,0.056,0.096,0.205,0.025,0.071,0.098,0.094,0.023,0.064
Washington-Puget Sound,2015,"53035, 53033, 53067, 53053",0.012,0.03,0.004,0.002,0.004,0.082,0.006,0.008,0.005,0.01,0.031,0.018,0.012,0.008,0.001,0.006,0.008,0.004,0.004,0.027,0.027,0.0001,0.054,0.033,0.179,0.047,0.108,0.11,0.01,0.024,0.001,0.03,0.047,0.013,0.001,0.001,0.008,0.0038,0.007,0.0001,0.003,0.007,0.004,0.14,0.084,0.023,0.0621,0.087,0.179,0.047,0.108,0.11,0.125,0.0138,0.0211
Washington-Southwest,2015,"53015, 53041, 53011",0.007,0.031,0.006,0.003,0.002,0.091,0.009,0.01,0.007,0.011,0.04,0.041,0.011,0.005,0.004,0.003,0.022,0.005,0.005,0.025,0.036,0.003,0.047,0.037,0.118,0.038,0.059,0.092,0.037,0.042,0.01,0.023,0.019,0.013,0.0005,0.0005,0.009,0.004,0.014,0.001,0.003,0.043,0.013,0.149,0.12,0.034,0.074,0.084,0.118,0.038,0.059,0.092,0.144,0.014,0.074
Washington-West,2015,"53009, 53027",0.009,0.03,0.004,0.003,0.003,0.098,0.006,0.008,0.006,0.012,0.036,0.023,0.015,0.006,0.002,0.004,0.005,0.005,0.005,0.014,0.026,0.001,0.049,0.048,0.125,0.055,0.096,0.127,0.015,0.027,0.009,0.013,0.014,0.015,0.001,0.001,0.01,0.002,0.006,0.001,0.007,0.055,0.003,0.153,0.1,0.017,0.051,0.097,0.125,0.055,0.096,0.127,0.093,0.014,0.072
Vermont-State,2018,50000,0.012,0.039,0.004,0.008,0.014,0.099,0.024,0.008,0.004,0.001,0.003,0.068,0.042,0.01,N/A,N/A,0.009,0.006,0.006,0.009,0.004,0.006,0.008,0.031,0.194,0.042,0.085,0.039,0.004,0.005,0.015,0.031,N/A,0.031,N/A,0.002,N/A,0.003,N/A,0.001,0.002,0.091,0.04,0.2,0.126,N/A,0.031,0.039,0.194,0.042,0.085,0.039,N/A,N/A,N/A
Missouri-Overall,2017,29000,0.015,0.085,0.013,0.009,N/A,0.121,0.017,0.016,0.009,0.01,0.007,0.069,0.041,0.014,0.002,0.008,0.004,0.01,0.009,0.018,0.006,N/A,0.026,0.037,0.15,0.049,0.066,0.045,0.006,0.005,0.017,0.026,N/A,0.016,0.001,0.001,0.001,0.001,0.012,N/A,0.008,0.038,0.0119,N/A,0.152,0.028,N/A,0.063,0.15,0.049,0.066,0.045,N/A,0.004,N/A
Missouri-Overall,2008,29000,0.052,0.082,0.064,0.037,N/A,0.082,0.02,0.026,0.019,0.02,0.02,0.048,0.04,0.027,0.006,0.018,0.003,0.029,0.019,0.009,0.003,N/A,0.026,0.005,0.172,0.047,0.059,0.007,0.003,0.003,0.009,0.003,N/A,0.003,0.002,0.001,0.005,0.001,0.01,N/A,0.003,0.006,0.011,N/A,0.173,0.054,N/A,0.031,0.172,0.047,0.059,0.007,N/A,0.009,N/A
"Lane County, Oregon",2016,41039,0.007,0.032,0.031,0.005,0.011,0.046,0.016,0.004,0.003,0.01,0.002,0.044,0.041,0.002,0.006,N/A,0.018,0.006,0.004,0.016,0.015,N/A,0.037,0.064,0.171,0.031,0.049,0.089,0.021,0.06,N/A,0.033,0.052,0.005,N/A,N/A,0.011,0.001,0.01,N/A,0.001,0.027,0.017,0.148,0.104,N/A,N/A,0.101,0.171,0.031,0.049,0.089,N/A,N/A,N/A
Pennsylvania (Northeast),2001,"42015, 42025, 42037, 42069, 42079, 42089, 42093, 42097, 42103, 42107, 42113, 42115, 42127, 42131",0.041,0.088,0.028,0.02,0.007,0.037,0.114,0.009,0.008,0.001,0.009,0.058,0.031,0.013,0.003,0.005,0.006,0.014,0.004,0.028,0.006,N/A,0.017,0.069,0.135,0.044,0.04,0.031,0.013,N/A,0.011,0.012,N/A,0.058,0.001,0.001,0.001,0.001,0.007,N/A,N/A,0.006,0.023,0.335,0.116,0.027,0.053,0.086,0.135,0.044,0.04,0.031,0.083,0.004,0.023
Pennsylvania (Northcentral),2001,"42023, 42027, 42033, 42035, 42037, 42081, 42097, 42105, 42109, 42117, 42119",0.03,0.071,0.045,0.023,0.005,0.052,0.101,0.009,0.007,0.001,0.005,0.053,0.03,0.012,0.005,0.008,0.002,0.011,0.006,0.03,0.012,N/A,0.032,0.064,0.152,0.037,0.049,0.015,0.011,N/A,0.011,0.042,N/A,0.036,0.001,0.001,0.001,0.004,0.01,N/A,N/A,0.002,0.014,0.327,0.105,0.027,0.059,0.096,0.152,0.037,0.049,0.015,0.089,0.007,0.014
Pennsylvania (Northwest),2001,"42031, 42039, 42049, 42053, 42065, 42085, 42121, 42123",0.045,0.063,0.021,0.026,0.002,0.037,0.114,0.012,0.009,0.001,0.007,0.052,0.032,0.014,0.002,0.006,0.006,0.015,0.007,0.031,0.009,N/A,0.054,0.048,0.12,0.043,0.041,0.024,0.01,N/A,0.013,0.026,N/A,0.054,0.001,0.001,0.001,0.003,0.012,N/A,N/A,0.018,0.02,0.308,0.113,0.028,0.062,0.102,0.12,0.043,0.041,0.024,0.09,0.006,0.021
Pennsylvania (SouthEast),2001,"42011, 42017, 42029, 42045, 42071, 42075, 42077, 42091, 42095, 42101",0.036,0.094,0.048,0.031,0.005,0.045,0.088,0.009,0.005,0.002,0.008,0.044,0.043,0.016,0.007,0.01,0.005,0.008,0.006,0.028,0.008,N/A,0.065,0.064,0.113,0.035,0.032,0.019,0.009,N/A,0.009,0.013,N/A,0.042,0.001,0.001,0.001,0.001,0.019,N/A,N/A,0.016,0.014,0.347,0.111,0.038,0.048,0.129,0.113,0.035,0.032,0.019,0.066,0.004,0.014
Pennsylvania (SOUTHWEST),2001,"42003, 42005, 42007, 42019, 42051, 42059, 42063, 42073, 42125, 42129",0.056,0.076,0.031,0.022,0.005,0.047,0.085,0.011,0.009,0.003,0.007,0.047,0.034,0.011,0.002,0.004,0.003,0.012,0.005,0.039,0.012,N/A,0.061,0.048,0.108,0.042,0.043,0.033,0.01,N/A,0.009,0.017,N/A,0.044,0.001,0.0005,0.0005,0.002,0.016,N/A,N/A,0.002,0.042,0.322,0.111,0.02,0.068,0.109,0.108,0.042,0.043,0.033,0.071,0.004,0.042
Pennsylvania (SouthCentral),2001,"42001, 42041, 42043, 42055, 42061, 42067, 42071, 42075, 42087, 42099, 42109, 42133",0.036,0.094,0.048,0.031,0.005,0.045,0.088,0.009,0.005,0.002,0.008,0.044,0.043,0.016,0.007,0.01,0.005,0.008,0.006,0.028,0.008,N/A,0.065,0.064,0.113,0.035,0.032,0.019,0.009,N/A,0.009,0.013,N/A,0.042,0.001,0.001,0.001,0.001,0.019,N/A,N/A,0.016,0.014,0.347,0.111,0.038,0.048,0.129,0.113,0.035,0.032,0.019,0.066,0.004,0.014
Washington State (Central),2020,"53025, 53007",0.0031,0.0662,0.051,0.006,0.003,0.064,0.007,0.0165,0.0125,0.0272,0.021,0.045,0.028,0.016,0.007,0.008,0.0089,0.0095,0.009,0.025,0.0245,0.004,0.04,0.027,0.168,0.043,0.024,0.0835,0.018,0.0095,0.01,0.008,0.006,0.0201,0.001,0.0015,0.0015,0.011,0.015,0.001,0.004,0.041,0.0045,0.2003,0.1502,0.0399,0.072,0.067,0.168,0.043,0.024,0.0835,0.0716,0.015,0.0655
Washington State (East),2020,"53063, 53021",0.004,0.06,0.037,0.002,0.002,0.081,0.002,0.014,0.009,0.03,0.025,0.036,0.037,0.012,0.004,0.003,0.003,0.005,0.008,0.029,0.023,0.008,0.064,0.01,0.142,0.036,0.02,0.09,0.011,0.033,0.019,0.017,0.008,0.006,0.001,0.002,0.0311,0.0076,0.017,0.0003,0.004,0.031,0.016,0.188,0.151,0.022,0.073,0.074,0.142,0.036,0.02,0.09,0.094,0.0417,0.0683
Washington State (Northwest),2020,53057,0.002,0.044,0.024,0.002,0.002,0.071,0.001,0.007,0.007,0.021,0.014,0.026,0.038,0.006,0.004,0.002,0.008,0.004,0.004,0.055,0.035,0.01,0.027,0.042,0.097,0.053,0.025,0.19,0.004,0.026,0.003,0.018,0.003,0.047,0.003,0.001,0.001,0.002,0.02,0.001,0.013,0.036,0.001,0.146,0.113,0.02,0.108,0.069,0.097,0.053,0.025,0.19,0.101,0.007,0.071
Washington State (Puget Sound),2020,"53035, 53033, 53067, 53053",0.003,0.05,0.029,0.001,0.001,0.064,0.001,0.009,0.005,0.024,0.023,0.028,0.028,0.009,0.004,0.003,0.007,0.003,0.006,0.036,0.033,0,0.114,0.021,0.136,0.039,0.044,0.122,0.046,0.013,0.009,0.01,0.027,0.014,0.001,0.001,0.006,0.005,0.004,0.001,0.003,0.014,0.003,0.149,0.117,0.023,0.078,0.135,0.136,0.039,0.044,0.122,0.119,0.013,0.025
Washington State (Southwest),2020,"53015, 53041, 53011",0.003,0.055,0.047,0.001,0.001,0.074,0.001,0.01,0.006,0.041,0.024,0.046,0.033,0.007,0.004,0.002,0.002,0.004,0.007,0.02,0.015,0.002,0.058,0.034,0.112,0.023,0.03,0.135,0.03,0.033,0.01,0.014,0.006,0.028,0.002,0.002,0.002,0.005,0.004,0.003,0.004,0.029,0.03,0.182,0.16,0.015,0.048,0.092,0.112,0.023,0.03,0.135,0.121,0.011,0.07
